keys,en_US,zh_CN
CALIBRATION_CAPITAL_STATUS_IDLE,"IDLE","空闲"
CALIBRATION_CAPITAL_STATUS_PRE_SAMPLING,"PRE SAMPLING","数据预采集中"
CALIBRATION_CAPITAL_STATUS_PRE_SAMPLING_END,"PRE SAMPLING END","数据预采集结束"
CALIBRATION_CAPITAL_STATUS_MOTION_SAMPLING,"MOTION SAMPLING","运动数据采集中"
CALIBRATION_CAPITAL_STATUS_STATIC_SAMPLING,"STATIC SAMPLING","静态数据采集中"
CALIBRATION_CAPITAL_STATUS_STATIC_SAMPLING_END,"STATIC SAMPLING END","阶段采集结束"
CALIBRATION_CAPITAL_STATUS_SAMPLING_END,"ALL SAMPLING END","所有数据采集结束"
CALIBRATION_CAPITAL_STATUS_AWAIT_RESULT,"AWAIT CALIBRATION RESULT","等待校准结果"
CALIBRATION_CAPITAL_STATUS_CALIBRATION_END,"CALIBRATION END","校准结束"

CALIBRATION_HINT_BEFORE_PRE_SAMPLING,"The equipment is ready. Please ensure that the equipment is completely stationary before pressing the [Enter] button to start the pre-sampling of data!","设备准备就绪，请保证设备完全静止后，按下[确认]键开始进行数据的预采集！"